9.0, 13.0, 12.0, 11.0, 17.0, 17.0, 13.0, 20.0, 18.0, 24.0, 18.0, 25.0, 26.0, 25.0, 24.0, 30.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 19.0, 20.0, 24.0, 25.0, 29.0, 30.0, 33.0, 34.0, 37.0, 38.0, 40.0, 42.0, 44.0, 45.0, 47.0
55, 67, 118, 170, 623, 1379, 2358, 3496, 4281, 4641, 7480, 7499, 10260, 8800, 10546, 11210
10.0, 11.0, 12.0, 17.0, 17.0, 18.0, 18.0, 23.0, 23.0, 27.0, 28.0, 31.0, 31.0, 36.0, 35.0, 38.0
3, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0
15.0, 19.0, 20.0, 24.0, 25.0, 29.0, 30.0, 33.0, 34.0, 37.0, 38.0, 40.0, 42.0, 44.0, 45.0, 47.0
436, 1160, 2988, 8167, 18786, 43945, 64654, 99838, 133558, 172010, 209081, 226282, 269504, 236598, 228555, 235553

2.0, 7.0, 5.0, 6.0, 6.0, 13.0, 14.0, 17.0, 13.0, 20.0, 22.0, 19.0, 24.0, 13.0, 20.0, 27.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11.0, 11.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 29.0, 30.0, 32.0, 33.0, 35.0, 35.0, 36.0, 37.0
25, 19, 38, 57, 141, 250, 471, 777, 1185, 1596, 2175, 2725, 3316, 3657, 4261, 4770
16.0, 16.0, 18.0, 20.0, 14.0, 19.0, 21.0, 23.0, 23.0, 23.0, 25.0, 27.0, 29.0, 31.0, 30.0, 30.0
2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
16.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 29.0, 30.0, 32.0, 33.0, 35.0, 35.0, 37.0, 37.0
222, 666, 1730, 2055, 5470, 12306, 23230, 40279, 60209, 84726, 80554, 103097, 119954, 131726, 138555, 146576

2.0, 8.0, 17.0, 6.0, 15.0, 18.0, 3.0, 11.0, 15.0, 5.0, 9.0, 14.0, 16.0, 18.0, 27.0, 16.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 18.0, 19.0, 21.0, 23.0, 24.0, 26.0, 28.0, 30.0, 30.0, 32.0, 33.0, 35.0, 36.0, 38.0, 39.0
33, 33, 75, 88, 184, 357, 620, 1025, 1590, 2207, 3050, 3717, 4205, 4845, 5404, 5915
6.0, 12.0, 12.0, 16.0, 17.0, 12.0, 18.0, 22.0, 22.0, 23.0, 27.0, 27.0, 31.0, 31.0, 35.0, 35.0
1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1
14.0, 18.0, 19.0, 21.0, 23.0, 24.0, 26.0, 28.0, 30.0, 30.0, 32.0, 33.0, 35.0, 36.0, 38.0, 39.0
236, 636, 1685, 4027, 9505, 18946, 33604, 55188, 87182, 112671, 137123, 135602, 140109, 137511, 138467, 148824

4.0, 4.0, 10.0, 9.0, 7.0, 8.0, 21.0, 19.0, 13.0, 9.0, 12.0, 24.0, 18.0, 22.0, 19.0, 21.0
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 16.0, 18.0, 19.0, 21.0, 23.0, 23.0, 26.0, 26.0, 29.0, 30.0, 31.0, 33.0, 34.0, 34.0, 36.0
59, 28, 53, 79, 198, 366, 1161, 1545, 2207, 3584, 5548, 6286, 7736, 8414, 9299, 11585
11.0, 11.0, 15.0, 16.0, 19.0, 20.0, 23.0, 26.0, 26.0, 24.0, 27.0, 30.0, 30.0, 33.0, 33.0, 33.0
